"material_code","material_name","primary_supplier_id","primary_supplier_name","alternative_supplier_id","alternative_supplier_name","similarity_score","recommendation_reason","quality_comparison","delivery_comparison","price_comparison","risk_level","availability","notes"
"RAW-AL-ALLOY","铝合金材料","SUP-027","深圳铝合金精密加工厂","SUP-010","生益科技股份有限公司","75","PCB原材料供应商，可提供铝基板材料","80","85","88","低","是","铝基板制造经验丰富，价格竞争力强"
"RAW-AL-ALLOY","铝合金材料","SUP-027","深圳铝合金精密加工厂","SUP-028","台州塑料注塑成型公司","68","金属加工能力强，可提供铝合金加工服务","75","80","85","低","是","具备金属精密加工设备，但主营塑料件"
"RAW-AL-ALLOY","铝合金材料","SUP-027","深圳铝合金精密加工厂","SUP-038","江苏航天铝业有限公司","92","专业铝合金材料供应商，航空级别","95","90","82","低","是","航空级铝合金，质量优异但价格较高"
"RAW-FR4-CCL","FR4覆铜板","SUP-044","移远通信股份有限公司","SUP-010","生益科技股份有限公司","95","国内最大PCB原材料供应商之一","95","92","90","低","是","专业FR4覆铜板制造商，供应稳定"
"RAW-FR4-CCL","FR4覆铜板","SUP-044","移远通信股份有限公司","SUP-009","深圳华强PCB制造厂","85","PCB制造商，具备覆铜板采购资源","88","85","92","低","是","可协助采购覆铜板，价格优势明显"
"RAW-FR4-CCL","FR4覆铜板","SUP-044","移远通信股份有限公司","SUP-032","东莞建滔积层板有限公司","93","专业覆铜板制造商，行业领先","94","90","88","低","是","建滔集团旗下，产能大交付稳定"
"RAW-CF-PLATE-3MM","3mm碳纤维板","SUP-025","东莞碳纤维复合材料厂","SUP-021","索尼半导体解决方案","82","具备高端材料采购渠道","85","80","75","中","是","可提供高规格碳纤维材料，但价格较高"
"RAW-CF-PLATE-3MM","3mm碳纤维板","SUP-025","东莞碳纤维复合材料厂","SUP-030","江西钨业控股集团","88","特种材料供应商，碳纤维板质量稳定","90","88","85","低","是","军工级碳纤维材料，质量可靠"
"RAW-CF-PLATE-3MM","3mm碳纤维板","SUP-025","东莞碳纤维复合材料厂","SUP-036","威海光威复合材料有限公司","95","国内碳纤维龙头企业","96","92","88","低","是","碳纤维全产业链，技术领先"
"PART-SPRAYER-16L","16升智能喷洒系统","SUP-002","德州仪器（TI）中国代理","SUP-003","意法半导体（ST）亚太区","80","电子元件供应商，可提供智能控制方案","85","82","88","低","是","芯片级方案支持，集成度高"
"PART-SPRAYER-16L","16升智能喷洒系统","SUP-002","德州仪器（TI）中国代理","SUP-012","深圳大疆创新动力系统","90","大疆动力系统，农业无人机喷洒专家","92","90","85","低","是","专业农业喷洒系统，技术成熟"
"PART-SPRAYER-16L","16升智能喷洒系统","SUP-002","德州仪器（TI）中国代理","SUP-026","深圳极飞科技有限公司","88","农业无人机整机商，喷洒系统供应链完善","90","88","90","低","是","极飞农业无人机配套系统，可批量供应"
"PART-PCB-2L","2层PCB板","SUP-009","深圳华强PCB制造厂","SUP-010","生益科技股份有限公司","75","PCB原材料供应商，可协助PCB制造","80","75","88","低","是","原材料供应商，可提供PCB制造服务"
"PART-PCB-2L","2层PCB板","SUP-009","深圳华强PCB制造厂","SUP-039","深圳方正PCB科技有限公司","92","专业PCB制造商，2-32层全覆盖","95","90","88","低","是","方正集团旗下，技术实力强"
"PART-PCB-2L","2层PCB板","SUP-009","深圳华强PCB制造厂","SUP-040","东莞健鼎科技有限公司","90","台资PCB厂，质量稳定","92","88","90","低","是","苹果供应链成员，质量体系完善"
